Business Name,Website,Phone,Address,Specialty
Aaron Krolik Law Office,http://www.securitydepositlaw.com,(312) 925-4090,"77 W Wacker Dr Ste 4500 Chicago, IL 60601","Real Estate Law, Personal Injury Law, Tenant and Eviction Law"
Mark Silverman Law Office,http://www.depositlaw.com/,(312) 775-1015,"77 W Wacker Dr Ste 4500 Chicago, IL 60601","General Litigation, Personal Injury Law, Immigration Law"
Sherwood Law Group,http://www.sherwoodlawgroup.com,(312) 627-1650,"218 N Jefferson Ste 401 Chicago, IL 60661","Personal Injury Law, Business Law, Real Estate Law"
The Judson Graham Firm,https://judsonlaw.com,(773) 692-9000,"200 North LaSalle St Ste 2150 Chicago, IL 60601","Personal Injury Law, Medical Law"
Schwaner Injury Law,https://schwanerinjury.com,(815) 421-3297,"111 North Wabash Ave Ste 801A Chicago, IL 60602","Personal Injury Law, Workers Compensation Law"
Levin Law,http://www.levinlawltd.com,(312) 841-7699,"2210 W Chicago Ave Chicago, IL 60622","Real Estate Law, Tenant and Eviction Law"
Law Office of Russell D Knight,https://rdklegal.com,(773) 334-6311,"1165 N Clark Ste 700 Chicago, IL 60610",Divorce & Family Law
"Michael H. Wasserman, P.C.",http://www.mhwasserman.com,(312) 726-1512,"1 N State St Ste 1500 Chicago, IL 60602",Real Estate Law
Law Office of Brian E Small,http://trafficlawchicago.com,(312) 436-1504,"5315 N Clark St Chicago, IL 60640","DUI Law, Traffic Ticketing Law"
Brabender Law,http://bc-firm.com,(312) 566-8456,"77 W Washington St Ste 2120 Chicago, IL 60602","Personal Injury Law, Wills, Trusts, & Probates, Tenant and Eviction Law"
Malman Law,https://www.malmanlaw.com,(331) 757-6814,"205 W Randolph St Ste 610 Chicago, IL 60606","Personal Injury Law, Workers Compensation Law, Medical Law"
Alexander Kevin F,http://kevinalexanderattorney.com,(708) 386-7987,"830 N Blvd Ste A Oak Park, IL 60301","Real Estate Law, Wills, Trusts, & Probates, Business Law"
Conniff & Keleher,https://www.ck-familylaw.com,(312) 880-0377,"111 W Washington St Chicago, IL 60602",Divorce & Family Law
Harold L Wallin,http://www.illinoisduilawyer.com/,(630) 590-0020,"33 N Dearborn St Ste 502 Chicago, IL 60602","DUI Law, Criminal Defense Law, Personal Injury Law"
Law Office of Joseph Q Lou,http://www.josephlou.com,(773) 286-8484,"4001 W Devon Ave Ste 201 Chicago, IL 60646",Bankruptcy Law
"Abels & Annes, PC",https://www.daveabels.com,(312) 924-7575,"100 N Lasalle St Ste 1710 Chicago, IL 60602","Personal Injury Law, Medical Law, Workers Compensation Law"
Erwin Law,http://www.erwinlawfirm.com,(773) 525-0153,"4043 N Ravenswood Ave Ste 208 Chicago, IL 60613","Real Estate Law, Estate Planning Law, Bankruptcy Law"
Tressler LLP,http://www.tresslerllp.com,(312) 627-4000,"233 S Wacker Dr Fl 61 Chicago, IL 60606","Employment Law, General Litigation, Personal Injury Law"
Swedberg and Hodgkinson,http://www.swedberghodgkinson.com,(331) 240-1517,"4848 N Damen Ave Chicago, IL 60625","Estate Planning Law, Personal Injury Law, Real Estate Law"
January Family Law,http://januarylawchicago.com,(815) 680-1060,"111 W Washington St Ste 1601 Chicago, IL 60602",Divorce & Family Law
Miller & McGing Law,http://MillerMcGing.com,(773) 467-8000,"6723 N Northwest Hwy Chicago, IL 60631",Personal Injury Law
Bell & Shah,https://www.bellshah.com,(773) 635-0355,"2015 W Fullerton Ave Chicago, IL 60647","Business Law, Estate Planning Law, Real Estate Law"
"The Kryder Law Group, LLC Accident and Injury Lawyers",https://www.kryderlaw.com,(872) 204-1904,"134 N Lasalle St Ste 1515 Chicago, IL 60602","Personal Injury Law, Workers Compensation Law"
Law Office of Alexander Ivakhnenko,Website Unavailable,Phone Number Unavailable,"2041 W Division St Ste 100 Chicago, IL 60622","Immigration Law, Criminal Defense Law, Translation Services"
Bradford Miller Law PC,http://www.bradfordmillerlaw.com/,(312) 238-9298,"10 S LaSalle Ste 2920 Chicago, IL 60603",Real Estate Law
Janice Dantes Attorney At Law,https://pinaylaw.com,(312) 546-5077,"35 E Wacker Dr Ste 650 Chicago, IL 60601","Divorce & Family Law, Estate Planning Law, Real Estate Law"
Chicago Family Attorneys,http://www.chiattorney.com,(312) 210-9614,"53 W Jackson Blvd Ste 752 Chicago, IL 60604","Divorce & Family Law, Wills, Trusts, & Probates, Tenant and Eviction Law"
Milla & Associates,https://www.millalegal.com,(312) 924-2862,"77 W Wacker Dr Ste 4500 Chicago, IL 60601",Immigration Law
"Kaplan Law Firm , LLC",http://www.financialrelief.com,(312) 294-8989,"25 E Washington St Ste 1501 Chicago, IL 60602","Bankruptcy Law, Financial Advising, Debt Relief Services"
Julie Kolodziej - JPR Law,http://www.jprlawgroup.com,(773) 245-5262,"Chicago, IL 60012","Business Law, Wills, Trusts, & Probates"
Phillips Law Offices,https://phillipslawoffices.com,(312) 346-4262,"161 N Clark St Ste 4925 Chicago, IL 60601","Personal Injury Law, Medical Law, Workers Compensation Law"
Power Rogers,https://www.powerrogers.com,(312) 883-6763,"70 W Madison St Ste 5500 Chicago, IL 60602","Personal Injury Law, Medical Law"
The Davis Law Group,https://www.illinoisdriverslicensereinstatementlawyer.com,(312) 265-3276,"420 W Huron St Ste 212 Chicago, IL 60654","Criminal Defense Law, DUI Law, Traffic Ticketing Law"
Law Office of Melissa Smejkal,http://cookcountynotguilty.com/,(312) 968-2479,"1328 W 18th St Chicago, IL 60608",Lawyers
Law Office of Andrew Weisberg,https://www.chicagocriminallawyer.com,(773) 908-9811,"444 N Michigan Ave Ste 1200 Chicago, IL 60611",Criminal Defense Law
Allen Law Group,https://www.kenallenlaw.com,(708) 794-6805,"150 N Michigan Ave Chicago, IL 60601","Personal Injury Law, Medical Law, Workers Compensation Law"
"Lisa Copland, PC",http://www.LisaACoplandPC.com,(312) 882-4429,"35 E Wacker Dr Ste 650 Chicago, IL 60601","Real Estate Law, Divorce & Family Law, Wills, Trusts, & Probates"
Nash Disability Law,http://www.nashdisabilitylaw.com,(312) 443-0900,"8 S Michigan Ave Ste 1616 Chicago, IL 60603",Disability Law
Law Offices of Jonathan M Aven,http://www.avenlaw.com,(312) 259-4345,"180 N Michigan Ave Ste 2105 Chicago, IL 60601",Real Estate Law
Utreras Law Offices,http://www.utreraslaw.com,(312) 263-5580,"105 W Madison St Ste 1300 Chicago, IL 60602","Employment Law, General Litigation"
Hamilton Law Group,http://www.hamilton-lawgroup.com,(312) 971-7134,"203 N LaSalle St Chicago, IL 60601","Personal Injury Law, Criminal Defense Law, Business Law"
"Marneris Law, P.C. - West Loop",http://www.marnerislaw.com,(312) 243-6700,"1016 W Jackson Blvd Chicago, IL 60607",Real Estate Law
Conniff & Keleher,https://www.ck-familylaw.com,(708) 763-0999,"224 S Marion St Oak Park, IL 60302",Divorce & Family Law
The Law Office of Purav Bhatt - Criminal Defense Attorney,https://bhattchicagodefenselaw.com,(773) 791-9682,"1655 S Blue Island Ave Ste 312 Chicago, IL 60608","Criminal Defense Law, DUI Law"
Ward Family Law,http://www.wardfamilylawchicago.com,(312) 803-5838,"155 N Wacker Dr Ste 4250 Chicago, IL 60606",Divorce & Family Law
Shea Law Group,https://www.shealawgroup.com,(773) 365-0040,"2400 N Western Ave Chicago, IL 60647","Personal Injury Law, Workers Compensation Law"
"Christine M Hunt, PC",http://www.huntlawchicago.com,(312) 583-0847,"899 S Plymouth Ct Ste G-10 Chicago, IL 60605","Divorce & Family Law, Estate Planning Law, Business Law"
Metz + Jones,https://www.metzandjoneslaw.com,(773) 878-4480,"5443 North Broadway Ste 2N Chicago, IL 60640","Divorce & Family Law, Real Estate Law, Wills, Trusts, & Probates"
Mayerbock Law Firm,http://www.mayerbocklaw.com,(312) 866-9338,"5791 N Elston Ave Chicago, IL 60646","Personal Injury Law, Real Estate Law, Business Law"
